Date,Equity Share Capital,TOTAL SHARE CAPITAL,Reserves and Surplus,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,TOTAL NON-CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,FIXED ASSETS,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,TOTAL NON-CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,TOTAL CURRENT ASSETS,TOTAL ASSETS,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value
2000,59.97,59.97,1193.9,1204.08,1264.05,179.99,65.95,0,0,245.93,30.6,177.65,197.7,304.24,710.19,2220.17,547.56,0,56.01,0,603.57,180.37,0,0,0,783.94,0,568.94,498.23,6.24,362.82,0,1436.23,2220.17,448.57,232.01,0,0,52.22,55.27,812.28,58.33,58.39,180.37,
2001,59.97,59.97,1483.6,1493.66,1553.64,154.67,88.95,0,0,243.62,40.37,238.68,255.77,283.99,818.81,2616.07,738.91,0,105.96,0,844.87,18.3,0,0,0,863.18,0,745.68,587.32,15.38,404.51,0,1752.89,2616.07,503.88,358.01,0,0,89.73,81.74,1053.21,44.74,58.39,18.3,
2002,59.97,59.97,1913.98,1923.3,1983.27,417.64,97.95,0,0,515.59,51.27,371.27,264.62,272.31,959.47,3458.33,1056.61,0,87.01,0,1143.62,22.43,0,0,0,1166.05,0,957,875.96,44.48,414.84,0,2292.28,3458.33,1600.75,468.41,0,0,106.55,80.47,1513.64,51.99,58.39,22.43,
2003,155.46,155.46,3071.84,3080.81,3236.27,116.31,112.65,0,0,228.96,7.25,305.93,225.2,410.13,948.51,4413.74,1388.07,0,73.19,0,1461.26,117.8,0,0,0,1579.06,0,978.6,1028.78,131.49,695.81,0,2834.68,4413.74,1586.64,555.27,0,0,94.85,115.13,1780.44,84.63,151.66,117.8,
2004,59.97,59.97,1193.9,1204.08,1264.05,179.99,65.95,0,0,245.93,30.6,177.65,197.7,304.24,710.19,2220.17,547.56,0,56.01,0,603.57,180.37,0,0,0,783.94,0,568.94,498.23,6.24,362.82,0,1436.23,2220.17,448.57,232.01,0,0,52.22,55.27,812.28,58.33,58.39,180.37,
2005,59.97,59.97,1483.6,1493.66,1553.64,154.67,88.95,0,0,243.62,40.37,238.68,255.77,283.99,818.81,2616.07,738.91,0,105.96,0,844.87,18.3,0,0,0,863.18,0,745.68,587.32,15.38,404.51,0,1752.89,2616.07,503.88,358.01,0,0,89.73,81.74,1053.21,44.74,58.39,18.3,
2006,59.97,59.97,1913.98,1923.3,1983.27,417.64,97.95,0,0,515.59,51.27,371.27,264.62,272.31,959.47,3458.33,1056.61,0,87.01,0,1143.62,22.43,0,0,0,1166.05,0,957,875.96,44.48,414.84,0,2292.28,3458.33,1600.75,468.41,0,0,106.55,80.47,1513.64,51.99,58.39,22.43,
2007,155.46,155.46,3071.84,3080.81,3236.27,116.31,112.65,0,0,228.96,7.25,305.93,225.2,410.13,948.51,4413.74,1388.07,0,73.19,0,1461.26,117.8,0,0,0,1579.06,0,978.6,1028.78,131.49,695.81,0,2834.68,4413.74,1586.64,555.27,0,0,94.85,115.13,1780.44,84.63,151.66,117.8,
2008,155.46,155.46,3591.39,3600.36,3755.82,563.55,149.15,0,0,712.7,16.98,533.51,297.39,416.81,1264.69,5733.21,1661.36,0,233.12,0,1894.48,94.75,0,0,0,1989.23,0,1120.49,1393.91,79.28,1150.3,0,3743.98,5733.21,1664.58,743.62,0,0,202.93,121.15,2101.74,153.47,151.66,94.75,
2009,155.46,155.46,4186.32,4195.29,4350.75,73.48,164.15,0,0,237.63,866.76,456.63,556.22,391.71,2271.32,6859.7,1992.49,0,366.32,0,2358.81,81.32,0,0,0,2440.13,0,1398.32,1837.15,53,1131.1,0,4419.57,6859.7,730.75,983.22,0,0,256.8,173.2,2742.69,217.47,151.66,81.32,
